Date;Gold XAU/EUR Rate FX Unhdg.;1-5 Year US Govt (ICE) FX Unhdg.;1-5 Year Global Non-Sov (ICE) IR hdg. IRS;World Equity (MSCI) FX Unhdg.;1-3 Year China Govt (ICE) FX Unhdg.;US Inflation-Linked Govt (ICE) FX Hdg.;US MBS (ICE) FX Hdg.;EM global IG Govt (JPM) FX Hdg.
01.05.1996;0,007017104;0,00186;;-0,0030365;;;-0,00091;
02.05.1996;-0,00161762;-0,00407;;-0,007248973;;;-0,00866;
03.05.1996;-0,007228766;-0,00405;;-0,005241832;;;-0,00137;
06.05.1996;0,003452388;0,00142;;-0,001231428;;;0,002;
07.05.1996;0,000969598;-0,00378;;-0,006893759;;;0,00059;
08.05.1996;-0,007374309;-0,00029;;0,000499151;;;0,00164;
09.05.1996;0,001920232;-0,00055;;0,000963589;;;0,00075;
10.05.1996;-0,000816891;0,00713;;0,007683994;;;0,0044;
13.05.1996;0,003175901;0,00438;;0,006525382;;;0,00191;
14.05.1996;0,001347836;0,00149;;0,00492341;;;0,0024;
15.05.1996;0,002973768;0,00121;;0,002234595;;;0,00061;
16.05.1996;-0,002091071;-0,00067;;0,002068949;;;-0,00228;
17.05.1996;-0,00040658;0,00093;;-0,003290159;;;0,00205;
20.05.1996;-0,002284034;-0,00138;;0,006009841;;;0,00056;
21.05.1996;0,003731811;-0,00021;;0,003908147;;;0,00162;
22.05.1996;0,001437186;0,00438;;-0,000581057;;;-0,00013;
23.05.1996;-0,002776651;-0,00303;;-0,002309662;;;-0,00199;
24.05.1996;-0,001251408;0,00005;;-0,000230104;;;0,00115;
28.05.1996;0,002851056;0,00379;;9,42035E-05;;;-0,00024;
29.05.1996;-0,007310444;-0,00414;;-0,002680152;;;-0,0034;
30.05.1996;0,001195909;-0,00624;;-0,002671602;;;-0,00102;
31.05.1996;-0,00817276;-0,0038;;-0,001642545;;;-0,0036;
03.06.1996;-0,002757266;-0,00277;;-0,005190263;;;-0,00125;
04.06.1996;-0,000508485;0,00241;;0,006471714;;;0,00163;
05.06.1996;-0,005532591;-0,00048;;0,002653858;;;0,00178;
06.06.1996;-0,002046297;0,00344;;-0,003313499;;;0,00267;
07.06.1996;0,003203896;-0,0016;;-0,00192172;;;-0,00804;
10.06.1996;0,000351303;-0,00001;;0,00078371;;;-0,00057;
11.06.1996;-0,003224468;0,00042;;-5,10277E-05;;;0;
12.06.1996;-0,002562296;-0,00043;;0,002830079;;;-0,00102;
13.06.1996;-0,002183546;0,00052;;-0,001682947;;;0,00125;
14.06.1996;0,000868894;-0,00555;;-0,004860347;;;0,00299;
17.06.1996;-0,004308543;-0,00256;;-0,004742802;;;0,00182;
18.06.1996;-0,00264798;-0,00118;;-0,000313672;;;-0,00011;
19.06.1996;0,00035616;0,00182;;0,001461373;;;-0,00107;
20.06.1996;0,002103832;0,00116;;-0,000467971;;;-0,00057;
21.06.1996;0,00594296;0,00175;;0,004686449;;;0,00139;
24.06.1996;-0,001765934;0,00352;;0,004411895;;;0,00054;
25.06.1996;-0,003345127;0,0008;;-0,001914051;;;0,00191;
26.06.1996;-0,00293681;-0,00176;;-0,004302895;;;0,00018;
27.06.1996;-0,007574041;-0,00266;;-0,002168474;;;0,00247;
28.06.1996;-0,001924269;0,00235;;0,003906365;;;0,00544;
01.07.1996;0,003692569;0,00051;;0,004221221;;;-0,00016;
02.07.1996;0,000976721;0,00103;;-0,000983044;;;-0,00353;
03.07.1996;-0,003447715;-0,0006;;-0,00315806;;;0,00111;
05.07.1996;0,003102345;-0,00468;;-0,008696088;;;-0,01054;
08.07.1996;0,002343979;0,00222;;-0,008096075;;;0,00055;
09.07.1996;0,001916269;-0,00181;;0,001398349;;;0,00225;
10.07.1996;-0,001134595;0,00276;;-0,000236297;;;0,00286;
11.07.1996;-0,000486808;-0,00043;;-0,009904479;;;0,00144;
12.07.1996;0,001883239;0,00034;;-0,005204991;;;0,0026;
15.07.1996;-0,004213119;-0,0005;;-0,013693272;;;-0,00089;
16.07.1996;-0,013441385;-0,01314;;-0,021733251;;;0,00265;
17.07.1996;-0,001616468;-0,00177;;0,004276938;;;0,00036;
18.07.1996;0,003106001;0,0041;;0,012621458;;;0,00425;
19.07.1996;0,000263522;-0,00311;;-0,003127403;;;-0,00179;
22.07.1996;-0,002700389;-0,0031;;-0,011130988;;;-0,00172;
23.07.1996;0,003467177;0,00409;;-0,002944767;;;0,0014;
24.07.1996;0,004014611;-0,00048;;-0,010387432;;;-0,00275;
25.07.1996;-0,008128216;-0,00565;;0,001153444;;;0,0007;
26.07.1996;0,004262631;0,00336;;0,006832573;;;0,00153;
29.07.1996;-0,003882601;-0,00243;;-0,003845312;;;-0,00241;
30.07.1996;-0,001255202;0,00007;;-0,000978319;;;0,00213;
31.07.1996;0,002645853;-0,00222;;0,003625766;;;0,00328;
01.08.1996;-0,002111096;0,00308;;0,010570706;;;0,00672;
02.08.1996;0,007140024;0,00922;;0,012624286;;;0,00443;
05.08.1996;0,005940659;0,00233;;0,003472493;;;-0,00002;
06.08.1996;0,0013051;0,00031;;-0,00099372;;;-0,00075;
07.08.1996;0,000619114;0,00107;;-0,000844255;;;-0,00014;
08.08.1996;-0,000455907;-0,001;;0,000452819;;;0,00012;
09.08.1996;-0,005310484;-0,00003;;-0,005526976;;;0,00298;
12.08.1996;6,55072E-05;-0,0013;;0,002066363;;;0,00072;
13.08.1996;6,55029E-05;-0,00067;;-0,00068131;;;-0,00316;
14.08.1996;0,002095955;0,00282;;0,005236021;;;0,00078;
15.08.1996;-0,003921697;-0,00131;;0,001449868;;;-0,00179;
16.08.1996;0,00377309;0,00677;;0,006618165;;;0,00261;
19.08.1996;-0,000163431;-0,00353;;-0,001280464;;;-0,00043;
20.08.1996;0,00176534;0,00146;;0,00113936;;;0,00053;
21.08.1996;-0,004927716;-0,00392;;-0,00223806;;;-0,00077;
22.08.1996;0,006427916;0,00654;;0,012029485;;;-0,00004;
23.08.1996;-0,004399114;-0,00659;;-0,005162198;;;-0,00358;
26.08.1996;0,002094721;-0,00679;;-0,00269895;;;-0,00325;
27.08.1996;-0,001273802;0,00052;;-0,003502144;;;0,00106;
28.08.1996;-0,003466545;-0,00097;;-0,002240415;;;-0,00046;
29.08.1996;-0,000229719;0,00068;;-0,00454427;;;-0,00208;
30.08.1996;-0,003413753;-0,00494;;-0,007941302;;;-0,00367;
03.09.1996;-0,001475797;0,00391;;-0,002138696;;;0,00127;
04.09.1996;-0,005813381;-0,00099;;0,002190546;;;-0,00281;
05.09.1996;0,003898249;0,00067;;-0,001482619;;;-0,00087;
06.09.1996;0,00187574;0,00319;;0,003473786;;;0,00255;
09.09.1996;-0,001445229;0,00283;;0,00735459;;;0,00243;
10.09.1996;0,005690602;0,00831;;0,010102727;;;-0,00076;
11.09.1996;-0,000327075;0,00127;;0,001544907;;;0;
12.09.1996;0,000588928;0,00305;;0,005318176;;;0,00246;
13.09.1996;0,000784775;0,00382;;0,009781591;;;0,00724;
16.09.1996;-0,001404953;-0,00158;;0,002046186;;;0,00089;
17.09.1996;0,000785263;-0,00041;;0,004744357;;;-0,00359;
18.09.1996;-0,001340439;-0,00348;;-0,002360317;;;-0,00077;
19.09.1996;0,00065475;0,00284;;0,003719396;;;-0,00163;
20.09.1996;-0,005332723;-0,00068;;1,12084E-05;;;0,00153;
23.09.1996;-0,002236621;-0,00261;;-0,003725024;;;0,00119;
24.09.1996;-0,003329487;0,00209;;-5,03002E-05;;;0,00253;
25.09.1996;0,00433287;-0,00224;;0,002179213;;;0,0038;
26.09.1996;0,001811296;0,00789;;0,007911413;;;0,00252;
27.09.1996;-0,000164366;0,00214;;0,002643701;;;-0,00134;
30.09.1996;-0,005030413;0,0014;;0,002028717;;;-0,00075;
01.10.1996;0,002874893;0,00174;;0,001133305;;;0,00331;
02.10.1996;0,004613002;0,00136;;0,004546383;;;0,00021;
03.10.1996;-0,000524779;0,00113;;-2,92319E-05;;;-0,00019;
04.10.1996;0,001181374;0,00323;;0,003019464;;;0,00592;
07.10.1996;-0,001638861;-0,00178;;0,001074659;;;-0,00153;
08.10.1996;0,0009521;-0,00264;;-0,004115123;;;-0,00028;
09.10.1996;-0,000951194;0,00023;;-0,003161526;;;-0,00092;
10.10.1996;0,002068354;-0,00093;;-0,000467968;;;-0,00183;
11.10.1996;-0,002096848;0,00152;;0,004354504;;;0,00246;
14.10.1996;-0,000262657;-0,0012;;0,002835555;;;0,0005;
15.10.1996;0,004630542;0,0065;;0,008205417;;;0,00037;
16.10.1996;-0,00101337;-0,00132;;-0,00108181;;;-0,00023;
17.10.1996;-0,000294503;0,00496;;0,005083856;;;0,00291;
18.10.1996;-0,001309286;-0,00155;;0,003526287;;;0,0005;
